2012-13|Ann Arbor, Michigan|University/College/Academic Library/Archives|12|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Consulting|unpaid|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Technology/Telecommunications|27|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Consumer Goods|18|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|University/College/Academic Library/Archives|unpaid|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Consumer Goods|20|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|University/College/Academic Library/Archives|unpaid|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Corporate/Special/Law Library|11.5|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Nonprofit|16|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Corporate/Special/Law Library|21.11|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|University/College/Academic Library/Archives|unpaid|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Entertainment|15|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|University/College/Academic Library/Archives|10|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Environmental/Natural Resources|16|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Advertising/Interactive Design Agency|16|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Environmental/Natural Resources|16.33|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Advertising/Interactive Design Agency|18|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Financial Services/Banking|17.5|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Advertising/Interactive Design Agency|25|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Financial Services/Banking|18.5|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Advertising/Interactive Design Agency|25|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Financial Services/Banking|28|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Automotive/Transportation|23|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Government/Government Library/Archives|10|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Automotive/Transportation|23|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Government/Government Library/Archives|15|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Automotive/Transportation|26.71|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Government/Government Library/Archives|15|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Consulting|10|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Government/Government Library/Archives|16.13|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Consulting|15|42.2808256|-83.7430378
2011-12|Ann Arbor, Michigan|Government/Government Library/Archives|16.13|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Consulting|17|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Government/Government Library/Archives|19.99|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Consulting|17|42.2808256|-83.7430378
2012-13|Ann Arbor, Michigan|Government/Government Library/Archives|20|42.2808256|-83.7430378
2013-14|Ann Arbor, Michigan|Consulting|20|42.2808256|-83.7430378
