2013-14," Ann Arbor, Michigan  United States",Financial Services/Banking,25.5
2011-12," Ann Arbor, Michigan  United States",University/College/Academic Library/Archives,unpaid
2011-12," Falls Church, Virginia  United States",Consulting,22
2011-12," New York City, New York  United States",Start-Up,20
2011-12," Palo Alto, California  United States",Technology/Telecommunications,47.88
2011-12," San Francisco, California  United States",Technology/Telecommunications,25
2012-13," Santa Clara, California  United States",Technology/Telecommunications,35
2012-13," Van Buren Twp, Michigan  United States",Consumer Goods,24
2011-12," Washington, District of Columbia  United States",Government/Government Library/Archives,unpaid
2011-12," Washington, District of Columbia  United States",Museum/Historical Society/Archives,12.5
2011-12," Alexandria, Virginia  United States",Government/Government Library/Archives,55.77
2011-12," Allendale, Michigan  United States",University/College/Academic Library/Archives,10
2011-12," Andover, Massachusetts  United States",Nonprofit,20
2011-12," Ann Abror, Michigan  United States",Nonprofit,20
2012-13," Ann Arbor , Michigan  United States",University/College/Academic Library/Archives,12
2013-14," Ann Arbor , Michigan  US",Technology/Telecommunications,27
2013-14," Ann Arbor , Michigan  US",University/College/Academic Library/Archives,unpaid
2013-14," Ann Arbor , Michigan  US",University/College/Academic Library/Archives,unpaid
2012-13," Ann Arbor, Michigan  United States",Nonprofit,16
2012-13," Ann Arbor, MI, Michigan  United States",University/College/Academic Library/Archives,unpaid
2012-13," Ann Arbor, Michigan  United States",University/College/Academic Library/Archives,10
2012-13," Ann Arbor, Michigan  United States",Advertising/Interactive Design Agency,16
2013-14," Ann Arbor, Michigan  United States",Advertising/Interactive Design Agency,18
2013-14," Ann Arbor, Michigan  United States",Advertising/Interactive Design Agency,25
2011-12," Ann Arbor, Michigan  United States",Advertising/Interactive Design Agency,25
2011-12," Ann Arbor, Michigan  United States",Automotive/Transportation,23
2012-13," Ann Arbor, Michigan  United States",Automotive/Transportation,23
2013-14," Ann Arbor, Michigan  United States",Automotive/Transportation,26.71
2012-13," Ann Arbor, Michigan  United States",Consulting,10
2013-14," Ann Arbor, Michigan  United States",Consulting,15
2013-14," Ann Arbor, Michigan  United States",Consulting,17
2013-14," Ann Arbor, Michigan  United States",Consulting,17
2013-14," Ann Arbor, Michigan  United States",Consulting,20
2013-14," Ann Arbor, Michigan  United States",Consulting,20
2013-14," Ann Arbor, Michigan  United States",Consulting,25
2013-14," Ann Arbor, Michigan  United States",Consulting,28
2011-12," Ann Arbor, Michigan  United States",Consulting,21.5
2011-12," Ann Arbor, Michigan  United States",Consulting,unpaid
2011-12," Ann Arbor, Michigan  United States",Consulting,unpaid
